ID,NUtrision classfication,KULFFI,HS-01,HS-02,HS-03,HS-04,HS-05,HS-06,HS-07,HS-08,HS-09,HS-10,HS-11,HS-12,HS-13,HS-14,HS-15,HS-16,HS-17,HS-18,HS-19,HS-20,HS-21,HS-22,HS-23,HS-24,HS-25,HS-26,HS-27,HS-28,HS-29,HS-30,HS-31,HS-32,HS-33,HS-34,HS-35,HS-36,HS-37,HS-38,HS-39,HS-40,HS-41,HS-42,HS-43,HS-44,HS-45,HS-46,HS-47,HS-48,HS-49,HS-50,HS-51,HS-52
039,Monosaccharides/Polyols,KULFFI-39,63.60 ,53.26 ,54.82 ,53.44 ,96.88 ,29.40 ,89.53 ,95.16 ,101.80 ,68.90 ,95.54 ,44.18 ,59.05 ,90.02 ,56.57 ,96.97 ,52.19 ,78.72 ,51.11 ,2.28 ,41.09 ,25.31 ,54.15 ,59.18 ,79.81 ,63.33 ,64.56 ,94.07 ,76.12 ,63.00 ,56.56 ,61.49 ,57.40 ,0.95 ,54.38 ,26.16 ,79.46 ,56.20 ,53.62 ,34.85 ,38.67 ,30.19 ,24.26 ,9.19 ,65.42 ,73.35 ,45.37 ,54.15 ,40.85 ,57.38 ,55.48,49.59
040,Monosaccharides/Polyols,KULFFI-40,91.02 ,78.44 ,71.09 ,84.11 ,89.12 ,66.83 ,102.91 ,91.37 ,94.63 ,88.02 ,80.25 ,66.85 ,59.10 ,95.84 ,80.09 ,102.52 ,68.35 ,83.05 ,82.51 ,2.64 ,27.32 ,16.21 ,87.04 ,69.49 ,75.35 ,79.69 ,64.78 ,102.17 ,83.48 ,64.10 ,67.26 ,79.31 ,78.01 ,0.66 ,80.64 ,50.96 ,84.08 ,76.27 ,71.01 ,59.25 ,45.71 ,59.30 ,29.93 ,6.50 ,85.77 ,70.19 ,52.99 ,54.09 ,42.33 ,61.67 ,70.09,63.00
041,Monosaccharides/Polyols,KULFFI-41,94.12 ,60.80 ,72.45 ,80.24 ,92.48 ,58.55 ,112.63 ,124.49 ,103.09 ,90.29 ,99.03 ,59.28 ,98.46 ,96.13 ,59.75 ,98.09 ,76.52 ,87.19 ,46.91 ,9.39 ,55.82 ,54.96 ,69.96 ,68.26 ,86.83 ,68.59 ,58.17 ,108.18 ,65.72 ,81.88 ,65.89 ,86.95 ,76.56 ,2.51 ,72.95 ,37.22 ,83.02 ,56.03 ,53.97 ,50.94 ,44.82 ,57.00 ,34.06 ,39.66 ,80.08 ,74.67 ,71.63 ,57.72 ,69.94 ,78.99 ,57.31,59.30
042,Monosaccharides/Polyols,KULFFI-42,89.67 ,76.78 ,70.61 ,71.30 ,88.95 ,61.86 ,113.79 ,125.28 ,108.86 ,100.77 ,89.37 ,61.51 ,77.46 ,101.95 ,81.11 ,104.93 ,69.01 ,107.51 ,92.99 ,20.89 ,48.32 ,54.08 ,74.26 ,77.70 ,92.54 ,87.71 ,77.43 ,97.14 ,72.30 ,74.51 ,72.04 ,76.58 ,80.03 ,0.71 ,73.12 ,52.83 ,88.11 ,88.31 ,76.98 ,64.65 ,62.63 ,61.74 ,43.79 ,49.87 ,97.15 ,84.37 ,77.17 ,76.05 ,56.46 ,67.99 ,74.11,66.58
043,Monosaccharides/Polyols,Xylitol,84.09 ,101.32 ,49.80 ,53.80 ,110.32 ,83.52 ,99.92 ,119.45 ,90.43 ,89.50 ,94.98 ,78.93 ,102.75 ,76.20 ,82.28 ,95.83 ,86.23 ,80.19 ,68.75 ,58.80 ,77.23 ,37.80 ,92.31 ,90.26 ,120.47 ,91.85 ,73.44 ,107.15 ,73.95 ,95.74 ,88.22 ,82.49 ,81.78 ,0.61 ,88.15 ,67.58 ,105.92 ,101.27 ,75.38 ,89.88 ,84.46 ,77.21 ,24.45 ,39.66 ,107.99 ,93.08 ,93.14 ,56.15 ,85.71 ,62.71 ,89.95,89.20
044,Monosaccharides/Polyols,KULFFI-44,46.21 ,56.75 ,37.46 ,56.93 ,86.14 ,28.34 ,82.53 ,69.88 ,62.70 ,71.32 ,74.89 ,46.78 ,48.72 ,64.72 ,54.34 ,78.47 ,41.18 ,78.29 ,66.19 ,1.67 ,20.01 ,17.16 ,45.47 ,38.79 ,49.60 ,40.12 ,54.20 ,91.55 ,78.78 ,52.73 ,54.34 ,59.27 ,60.39 ,0.70 ,42.55 ,27.35 ,65.16 ,52.56 ,48.38 ,37.88 ,39.47 ,37.76 ,20.36 ,5.81 ,78.33 ,61.06 ,38.42 ,40.77 ,50.61 ,51.86 ,51.84,59.42
045,Amino acids,KULFFI-45,66.90 ,52.09 ,51.48 ,66.34 ,80.19 ,42.79 ,86.21 ,87.00 ,68.93 ,71.14 ,86.05 ,42.58 ,59.64 ,62.98 ,55.76 ,81.19 ,47.33 ,60.04 ,50.42 ,9.41 ,37.21 ,37.83 ,52.69 ,60.69 ,79.22 ,64.13 ,59.03 ,86.61 ,78.10 ,66.36 ,58.69 ,52.78 ,53.51 ,0.75 ,50.92 ,31.18 ,73.87 ,69.20 ,85.98 ,35.45 ,33.08 ,37.69 ,25.26 ,40.72 ,82.15 ,82.25 ,51.22 ,52.42 ,55.22 ,61.72 ,51.01,44.78
046,Amino acids,KULFFI-46,53.32 ,49.25 ,46.45 ,49.80 ,63.66 ,40.58 ,66.91 ,35.50 ,46.95 ,56.83 ,58.27 ,32.39 ,41.34 ,57.38 ,47.41 ,67.86 ,40.63 ,39.68 ,48.02 ,16.43 ,26.02 ,30.79 ,47.14 ,53.29 ,62.52 ,48.36 ,62.94 ,73.84 ,65.97 ,45.02 ,49.10 ,49.66 ,61.16 ,30.91 ,37.97 ,43.73 ,62.80 ,57.72 ,54.70 ,66.47 ,42.85 ,44.08 ,43.12 ,34.53 ,70.95 ,62.87 ,53.53 ,43.66 ,56.36 ,64.11 ,44.30,45.30
047,Amino acids,KULFFI-47,57.82 ,56.31 ,46.29 ,49.79 ,59.23 ,43.12 ,61.45 ,39.04 ,68.68 ,62.95 ,73.41 ,35.57 ,53.38 ,66.92 ,48.84 ,74.67 ,44.35 ,52.70 ,52.88 ,12.95 ,36.29 ,27.25 ,48.40 ,57.19 ,63.98 ,54.10 ,63.49 ,83.95 ,66.23 ,65.39 ,58.17 ,60.42 ,57.33 ,1.55 ,51.93 ,38.83 ,64.71 ,69.44 ,69.44 ,38.68 ,46.89 ,39.20 ,29.31 ,30.17 ,73.99 ,68.28 ,50.41 ,55.63 ,59.74 ,63.00 ,50.88,48.34
048,Amino acids,KULFFI-48,45.78 ,36.69 ,31.26 ,57.49 ,41.78 ,19.99 ,79.65 ,67.89 ,70.49 ,63.78 ,73.89 ,36.08 ,44.71 ,65.21 ,57.16 ,78.10 ,49.87 ,62.07 ,49.77 ,0.63 ,28.43 ,10.33 ,48.59 ,36.13 ,73.22 ,61.81 ,53.16 ,84.07 ,68.83 ,60.70 ,50.67 ,57.44 ,52.55 ,0.87 ,28.91 ,24.83 ,72.79 ,42.67 ,61.17 ,31.43 ,25.17 ,32.59 ,16.14 ,2.82 ,73.74 ,70.15 ,49.53 ,48.55 ,53.03 ,61.36 ,53.30,41.72
