ID,NUtrision classfication,KULFFI,HS-01,HS-02,HS-03,HS-04,HS-05,HS-06,HS-07,HS-08,HS-09,HS-10,HS-11,HS-12,HS-13,HS-14,HS-15,HS-16,HS-17,HS-18,HS-19,HS-20,HS-21,HS-22,HS-23,HS-24,HS-25,HS-26,HS-27,HS-28,HS-29,HS-30,HS-31,HS-32,HS-33,HS-34,HS-35,HS-36,HS-37,HS-38,HS-39,HS-40,HS-41,HS-42,HS-43,HS-44,HS-45,HS-46,HS-47,HS-48,HS-49,HS-50,HS-51,HS-52
010,Polysaccharides,KULFFI-10,1.33.E+09,3.94.E+08,6.56.E+08,1.49.E+09,8.24.E+08,4.22.E+08,5.67.E+08,4.68.E+08,5.44.E+08,6.85.E+08,6.00.E+08,4.59.E+08,6.33.E+08,7.07.E+08,9.66.E+08,4.34.E+08,9.33.E+08,8.89.E+08,3.64.E+08,2.02.E+08,9.44.E+08,7.60.E+08,1.01.E+09,3.33.E+08,1.03.E+09,1.17.E+09,1.05.E+09,2.59.E+08,1.81.E+08,4.55.E+08,6.38.E+08,1.02.E+09,6.59.E+08,9.62.E+07,4.67.E+08,3.94.E+08,5.56.E+08,6.88.E+08,6.12.E+08,2.55.E+08,4.63.E+07,3.34.E+08,1.66.E+08,3.78.E+08,3.29.E+08,7.93.E+08,9.65.E+08,1.14.E+09,5.91.E+08,8.14.E+08,1.42.E+09,4.11.E+08
011,Polysaccharides,KULFFI-11,1.12.E+09,2.90.E+08,2.35.E+08,6.35.E+08,4.21.E+08,2.86.E+08,3.47.E+08,2.71.E+08,4.62.E+08,2.96.E+08,3.50.E+08,3.97.E+08,2.92.E+08,5.25.E+08,1.37.E+09,6.50.E+08,8.84.E+08,1.27.E+09,7.51.E+07,4.79.E+06,1.32.E+08,1.57.E+08,4.91.E+08,1.75.E+08,7.03.E+08,1.02.E+09,4.78.E+08,1.43.E+08,4.43.E+08,3.32.E+08,1.07.E+09,4.92.E+08,3.13.E+08,4.67.E+07,4.46.E+08,2.30.E+08,2.41.E+08,8.41.E+08,4.80.E+08,7.40.E+07,6.49.E+07,6.77.E+07,1.02.E+08,2.27.E+08,2.09.E+08,2.80.E+08,2.44.E+08,1.80.E+08,8.89.E+07,9.44.E+07,4.86.E+08,1.49.E+08
012,Oligosaccharides,KULFFI-12,1.98.E+09,3.71.E+08,6.43.E+08,1.16.E+09,1.05.E+09,4.16.E+08,6.22.E+08,4.91.E+08,4.07.E+08,6.47.E+08,4.91.E+08,5.36.E+08,7.24.E+08,9.92.E+08,1.11.E+09,5.04.E+08,1.21.E+09,1.30.E+09,3.04.E+08,3.28.E+07,6.63.E+08,4.27.E+08,1.12.E+09,3.51.E+08,8.70.E+08,1.18.E+09,1.05.E+09,3.07.E+08,6.48.E+08,5.41.E+08,6.56.E+08,1.14.E+09,7.53.E+08,2.20.E+08,5.00.E+08,4.79.E+08,5.14.E+08,1.06.E+09,6.92.E+08,3.80.E+08,1.07.E+08,3.09.E+08,2.96.E+08,2.43.E+08,7.51.E+08,8.27.E+08,1.08.E+09,1.16.E+09,5.40.E+08,6.59.E+08,1.27.E+09,2.81.E+08
013,Oligosaccharides,KULFFI-13,3.14.E+09,5.12.E+08,7.02.E+08,1.68.E+09,1.15.E+09,4.02.E+08,7.78.E+08,1.03.E+09,3.40.E+08,1.32.E+09,9.83.E+08,7.67.E+08,6.83.E+08,1.32.E+09,2.21.E+09,9.27.E+08,1.90.E+09,1.49.E+09,5.17.E+08,5.00.E+08,9.72.E+08,5.07.E+08,1.11.E+09,4.98.E+08,1.41.E+09,1.49.E+09,1.20.E+09,2.24.E+08,8.31.E+08,1.02.E+09,1.37.E+09,1.09.E+09,8.12.E+08,1.79.E+08,7.21.E+08,7.09.E+08,6.06.E+08,1.01.E+09,8.27.E+08,4.86.E+08,3.09.E+08,5.37.E+08,2.39.E+08,1.21.E+09,7.59.E+08,8.60.E+08,1.10.E+09,1.29.E+09,5.84.E+08,7.13.E+08,1.71.E+09,4.66.E+08
014,Oligosaccharides,KULFFI-14,2.57.E+09,4.27.E+08,5.82.E+08,1.10.E+09,8.13.E+08,5.60.E+08,5.12.E+08,6.97.E+08,2.89.E+08,5.62.E+08,4.36.E+08,6.70.E+08,3.63.E+08,6.30.E+08,1.16.E+09,5.26.E+08,1.26.E+09,1.27.E+09,1.23.E+08,2.99.E+07,2.59.E+08,2.82.E+08,9.33.E+08,4.03.E+08,5.97.E+08,9.49.E+08,8.54.E+08,3.30.E+08,5.80.E+08,7.76.E+07,7.42.E+08,9.27.E+08,6.71.E+08,1.83.E+08,2.03.E+08,4.58.E+08,3.88.E+08,7.66.E+08,5.60.E+08,4.12.E+08,3.50.E+07,3.01.E+08,2.00.E+08,3.23.E+07,4.51.E+08,7.20.E+08,1.01.E+09,9.26.E+08,3.42.E+08,5.17.E+08,1.08.E+09,2.43.E+08
015,Oligosaccharides,KULFFI-15,3.00.E+09,4.80.E+08,9.01.E+08,1.05.E+09,9.54.E+08,6.73.E+08,4.79.E+08,6.01.E+08,3.48.E+08,5.81.E+08,3.42.E+08,6.25.E+08,3.33.E+08,8.51.E+08,1.41.E+09,5.92.E+08,2.14.E+09,1.05.E+09,1.86.E+08,1.90.E+07,1.92.E+08,2.45.E+08,6.79.E+08,3.16.E+08,7.32.E+08,8.00.E+08,6.50.E+08,4.73.E+08,7.52.E+08,3.12.E+07,6.95.E+08,9.17.E+08,5.55.E+08,1.45.E+08,1.99.E+08,3.68.E+08,3.82.E+08,7.50.E+08,5.81.E+08,3.62.E+08,2.37.E+07,2.51.E+08,2.06.E+08,1.78.E+07,3.81.E+08,6.80.E+08,8.39.E+08,8.80.E+08,2.87.E+08,5.84.E+08,9.02.E+08,2.03.E+08
016,Oligosaccharides,Inulin,3.63.E+09,4.31.E+08,5.40.E+08,1.02.E+09,7.55.E+08,4.62.E+08,6.06.E+08,6.07.E+08,2.87.E+08,7.32.E+08,4.32.E+08,6.01.E+08,3.59.E+08,8.49.E+08,1.27.E+09,8.33.E+08,2.61.E+09,1.07.E+09,1.56.E+08,2.67.E+07,2.42.E+08,3.90.E+08,7.82.E+08,5.20.E+08,5.76.E+08,1.28.E+09,1.02.E+09,3.35.E+08,8.37.E+08,4.01.E+08,1.46.E+09,9.54.E+08,7.42.E+08,1.46.E+08,2.78.E+08,4.12.E+08,5.02.E+08,9.89.E+08,5.94.E+08,4.11.E+08,3.68.E+07,3.30.E+08,3.36.E+08,2.54.E+07,5.36.E+08,7.95.E+08,8.60.E+08,1.02.E+09,3.51.E+08,7.54.E+08,1.01.E+09,2.71.E+08
017,Oligosaccharides,KULFFI-17,1.96.E+09,4.23.E+08,5.77.E+08,9.48.E+08,7.32.E+08,4.92.E+08,5.33.E+08,7.16.E+08,2.78.E+08,5.54.E+08,2.90.E+08,5.32.E+08,2.67.E+08,7.89.E+08,1.01.E+09,7.44.E+08,1.38.E+09,9.88.E+08,1.34.E+08,3.04.E+07,3.58.E+08,5.16.E+08,1.03.E+09,3.77.E+08,7.02.E+08,9.95.E+08,9.99.E+08,3.05.E+08,7.37.E+08,9.56.E+07,7.82.E+08,1.05.E+09,6.75.E+08,1.51.E+08,2.22.E+08,3.56.E+08,3.88.E+08,7.28.E+08,4.41.E+08,4.83.E+08,3.15.E+07,3.24.E+08,4.38.E+08,2.61.E+07,5.98.E+08,7.49.E+08,5.99.E+08,1.04.E+09,3.51.E+08,5.86.E+08,9.18.E+08,2.97.E+08
018,Oligosaccharides,Resistant maltodextrin,3.23.E+09,4.65.E+08,5.08.E+08,1.36.E+09,1.27.E+09,3.60.E+08,7.41.E+08,9.89.E+08,9.14.E+08,1.48.E+09,6.98.E+08,6.67.E+08,3.01.E+08,9.11.E+08,1.64.E+09,9.56.E+08,1.81.E+09,1.59.E+09,1.56.E+08,6.83.E+07,1.27.E+09,7.07.E+08,1.19.E+09,7.90.E+08,1.13.E+09,1.33.E+09,8.68.E+08,7.21.E+08,1.04.E+09,1.08.E+09,1.31.E+09,1.27.E+09,7.67.E+08,1.51.E+08,3.86.E+08,5.98.E+08,5.59.E+08,1.31.E+09,7.70.E+08,6.25.E+08,5.37.E+07,2.97.E+08,2.85.E+08,3.06.E+08,7.48.E+08,1.49.E+09,1.24.E+09,1.26.E+09,5.09.E+08,9.49.E+08,1.24.E+09,3.42.E+08
019,Oligosaccharides,KULFFI-19,2.53.E+09,4.48.E+08,5.82.E+08,8.87.E+08,9.37.E+08,4.78.E+08,6.39.E+08,5.66.E+08,3.40.E+08,7.96.E+08,2.24.E+08,4.66.E+08,3.16.E+08,9.18.E+08,9.14.E+08,5.34.E+08,1.25.E+09,1.03.E+09,2.16.E+08,2.75.E+07,2.33.E+08,2.46.E+08,6.89.E+08,5.44.E+08,7.28.E+08,1.05.E+09,1.14.E+09,4.25.E+08,6.51.E+08,4.23.E+07,1.75.E+09,1.05.E+09,6.75.E+08,1.58.E+08,2.55.E+08,4.52.E+08,5.08.E+08,8.31.E+08,4.04.E+08,5.60.E+08,3.79.E+07,2.91.E+08,3.12.E+08,4.98.E+07,6.77.E+08,1.14.E+09,1.04.E+09,1.22.E+09,4.09.E+08,6.54.E+08,1.27.E+09,3.60.E+08
