(log10),72h
JAR,11.32012121
,11.23921745
,11.18180448
,11.19978351
,11.17175886
,11.16895782
96well-A,11.20137544
,11.13551714
,11.12544461
,11.09656256
,11.06472321
,11.00773409
96well-B,11.09227694
,11.10154231
,11.14207953
,11.06035738
,10.97265386
,10.92489979
