ID,NUtrision classfication,KULFFI,HS-01,HS-02,HS-03,HS-04,HS-05,HS-06,HS-07,HS-08,HS-09,HS-10,HS-11,HS-12,HS-13,HS-14,HS-15,HS-16,HS-17,HS-18,HS-19,HS-20,HS-21,HS-22,HS-23,HS-24,HS-25,HS-26,HS-27,HS-28,HS-29,HS-30,HS-31,HS-32,HS-33,HS-34,HS-35,HS-36,HS-37,HS-38,HS-39,HS-40,HS-41,HS-42,HS-43,HS-44,HS-45,HS-46,HS-47,HS-48,HS-49,HS-50,HS-51,HS-52
045,Amino acids,KULFFI-45,43.51 ,35.88 ,39.08 ,59.85 ,33.88 ,70.60 ,46.31 ,44.47 ,25.41 ,48.36 ,16.94 ,52.03 ,46.25 ,38.12 ,92.34 ,50.20 ,44.10 ,44.86 ,36.88 ,66.36 ,58.17 ,59.78 ,52.14 ,65.29 ,55.34 ,50.66 ,47.56 ,32.29 ,33.48 ,35.58 ,46.56 ,47.37 ,45.81 ,8.05 ,37.11 ,44.58 ,50.70 ,43.38 ,46.69 ,45.83 ,37.52 ,36.90 ,40.93 ,55.29 ,18.20 ,34.31 ,45.30 ,64.42 ,43.07 ,40.39 ,47.57 ,31.38 
046,Amino acids,KULFFI-46,44.09 ,36.33 ,45.10 ,61.41 ,38.45 ,66.28 ,43.22 ,37.09 ,29.49 ,38.47 ,20.75 ,50.31 ,50.36 ,31.35 ,43.00 ,52.60 ,40.73 ,38.96 ,43.41 ,83.60 ,61.29 ,72.68 ,54.61 ,67.16 ,55.76 ,50.50 ,46.92 ,38.80 ,41.59 ,43.92 ,42.29 ,48.04 ,49.59 ,38.28 ,36.02 ,58.41 ,52.94 ,45.58 ,40.22 ,54.99 ,52.13 ,43.36 ,55.32 ,67.07 ,25.44 ,41.18 ,45.76 ,68.10 ,41.97 ,50.69 ,46.60 ,37.54 
047,Amino acids,KULFFI-47,73.94 ,46.50 ,70.99 ,81.47 ,86.07 ,89.89 ,97.46 ,74.64 ,41.59 ,67.25 ,25.54 ,68.55 ,79.65 ,49.76 ,78.31 ,68.63 ,60.73 ,59.39 ,93.70 ,128.66 ,93.86 ,129.79 ,88.51 ,112.03 ,87.84 ,101.01 ,59.76 ,47.83 ,82.85 ,56.37 ,64.36 ,64.02 ,57.66 ,10.47 ,50.92 ,80.79 ,91.65 ,57.33 ,66.92 ,54.88 ,51.67 ,55.26 ,93.89 ,133.47 ,33.48 ,46.82 ,58.65 ,82.44 ,52.14 ,63.84 ,61.09 ,44.18 
048,Amino acids,KULFFI-48,71.32 ,55.22 ,69.84 ,80.83 ,48.87 ,136.14 ,63.20 ,79.96 ,32.66 ,66.96 ,22.64 ,61.46 ,100.92 ,51.04 ,74.59 ,57.37 ,68.61 ,64.09 ,99.54 ,68.53 ,90.04 ,102.67 ,94.57 ,155.40 ,74.07 ,77.02 ,57.00 ,44.35 ,104.20 ,44.95 ,55.63 ,74.00 ,61.31 ,8.87 ,53.74 ,80.66 ,70.80 ,42.32 ,63.78 ,74.24 ,46.42 ,53.71 ,57.26 ,10.41 ,34.61 ,42.52 ,59.95 ,86.29 ,51.78 ,47.88 ,62.18 ,42.30 
049,Amino acids,KULFFI-49,41.58 ,34.63 ,36.73 ,58.22 ,32.20 ,72.68 ,41.94 ,35.42 ,28.43 ,41.12 ,21.70 ,50.85 ,49.35 ,38.71 ,52.19 ,51.42 ,45.13 ,44.66 ,41.69 ,67.52 ,62.75 ,58.26 ,49.03 ,64.70 ,54.55 ,53.33 ,47.43 ,38.41 ,43.05 ,33.65 ,47.34 ,44.04 ,43.76 ,8.82 ,36.37 ,49.33 ,48.43 ,44.25 ,45.54 ,44.22 ,43.77 ,40.21 ,40.00 ,44.33 ,22.97 ,44.45 ,47.49 ,70.11 ,39.96 ,41.78 ,47.74 ,31.95 
050,Amino acids,KULFFI-50,39.89 ,33.56 ,33.52 ,47.74 ,25.94 ,62.81 ,26.97 ,42.55 ,28.38 ,46.69 ,16.61 ,44.32 ,36.10 ,37.51 ,58.65 ,47.89 ,43.84 ,48.37 ,25.90 ,49.76 ,56.80 ,42.90 ,46.83 ,63.75 ,48.34 ,52.17 ,44.13 ,39.84 ,45.09 ,32.09 ,46.96 ,40.07 ,39.52 ,8.51 ,28.08 ,47.88 ,45.16 ,35.89 ,42.93 ,42.03 ,34.15 ,34.25 ,35.76 ,11.21 ,26.85 ,41.98 ,45.69 ,64.90 ,41.64 ,35.12 ,48.82 ,29.34 
051,Amino acids,KULFFI-51,44.30 ,33.53 ,39.08 ,61.04 ,36.31 ,82.62 ,43.16 ,43.19 ,27.26 ,43.23 ,21.37 ,49.53 ,50.21 ,36.10 ,62.04 ,52.42 ,44.90 ,45.83 ,39.35 ,84.53 ,62.62 ,63.70 ,48.82 ,69.33 ,58.38 ,55.04 ,52.62 ,39.84 ,42.98 ,38.72 ,46.24 ,44.21 ,44.32 ,9.88 ,36.52 ,48.07 ,51.22 ,44.39 ,48.02 ,46.65 ,46.58 ,41.88 ,43.68 ,58.75 ,28.62 ,41.78 ,47.32 ,71.02 ,43.12 ,44.06 ,48.28 ,34.56 
052,Amino acids,KULFFI-52,46.65 ,38.58 ,39.88 ,61.16 ,37.08 ,71.94 ,45.37 ,42.04 ,29.08 ,49.51 ,21.02 ,50.15 ,46.83 ,39.20 ,52.78 ,51.92 ,43.31 ,46.24 ,39.88 ,64.79 ,59.46 ,61.85 ,54.35 ,66.05 ,57.51 ,50.99 ,47.34 ,38.80 ,44.14 ,38.62 ,49.42 ,48.68 ,46.90 ,8.59 ,39.42 ,44.68 ,51.58 ,45.50 ,46.49 ,45.00 ,39.63 ,39.73 ,39.55 ,60.51 ,28.53 ,42.30 ,46.35 ,71.61 ,40.37 ,41.77 ,45.86 ,29.42 
053,Amino acids,KULFFI-53,45.06 ,34.64 ,40.17 ,70.53 ,41.90 ,79.63 ,45.08 ,37.64 ,28.71 ,46.35 ,24.60 ,55.73 ,51.42 ,40.03 ,54.65 ,57.50 ,47.89 ,44.79 ,47.55 ,88.79 ,67.08 ,70.68 ,58.48 ,68.33 ,55.81 ,55.92 ,51.53 ,39.86 ,43.45 ,39.11 ,46.50 ,48.84 ,46.27 ,9.04 ,37.33 ,54.03 ,53.39 ,46.65 ,46.61 ,48.87 ,49.81 ,44.37 ,50.38 ,65.63 ,29.79 ,47.06 ,47.85 ,74.12 ,43.66 ,47.37 ,49.54 ,38.07 
054,Amino acids,KULFFI-54,42.30 ,33.46 ,39.94 ,60.19 ,35.01 ,71.00 ,46.25 ,39.67 ,30.91 ,47.30 ,16.10 ,50.41 ,48.42 ,62.46 ,79.90 ,51.62 ,47.62 ,47.90 ,37.44 ,69.03 ,58.52 ,59.30 ,53.85 ,65.62 ,54.16 ,54.66 ,48.17 ,34.23 ,37.44 ,37.11 ,44.43 ,46.69 ,44.24 ,8.75 ,38.15 ,43.95 ,53.90 ,43.76 ,50.68 ,44.27 ,37.28 ,34.61 ,40.39 ,55.81 ,20.41 ,37.87 ,47.42 ,71.61 ,45.23 ,39.68 ,47.20 ,32.12 
055,Amino acids,KULFFI-55,42.41 ,32.86 ,37.45 ,60.20 ,32.34 ,69.83 ,46.02 ,42.49 ,30.62 ,42.87 ,21.39 ,49.10 ,49.26 ,45.96 ,72.07 ,47.00 ,45.57 ,46.25 ,35.78 ,66.46 ,55.12 ,57.75 ,51.89 ,66.04 ,53.41 ,54.16 ,47.11 ,32.44 ,36.48 ,35.83 ,46.03 ,46.21 ,44.01 ,8.37 ,37.34 ,43.68 ,52.90 ,42.29 ,46.52 ,44.15 ,37.30 ,36.99 ,42.40 ,55.63 ,18.13 ,28.14 ,47.40 ,69.36 ,39.85 ,38.76 ,47.15 ,29.75 
056,Amino acids,KULFFI-56,41.18 ,32.38 ,37.27 ,63.27 ,34.60 ,71.27 ,43.99 ,40.39 ,30.57 ,42.09 ,19.31 ,55.03 ,53.50 ,37.68 ,55.94 ,48.75 ,42.41 ,44.21 ,41.24 ,82.26 ,62.63 ,69.47 ,52.20 ,64.04 ,53.23 ,51.47 ,51.83 ,38.74 ,42.03 ,42.27 ,44.43 ,46.85 ,45.63 ,8.00 ,38.14 ,45.10 ,50.94 ,43.72 ,48.99 ,46.16 ,45.32 ,41.79 ,46.90 ,65.17 ,25.70 ,40.22 ,48.59 ,69.25 ,41.13 ,40.75 ,47.33 ,34.49 
057,Amino acids,KULFFI-57,61.43 ,41.85 ,49.04 ,81.39 ,40.75 ,95.05 ,61.94 ,62.51 ,46.32 ,73.18 ,20.01 ,60.08 ,52.64 ,55.22 ,77.86 ,59.14 ,74.29 ,64.01 ,43.94 ,87.03 ,76.23 ,63.38 ,63.04 ,77.53 ,86.60 ,78.43 ,50.29 ,47.30 ,50.36 ,47.11 ,70.77 ,46.84 ,41.68 ,8.06 ,47.14 ,45.59 ,80.17 ,56.28 ,70.53 ,47.34 ,40.17 ,36.69 ,40.83 ,76.26 ,37.88 ,39.84 ,54.02 ,88.98 ,44.64 ,42.88 ,49.19 ,30.38 
058,Amino acids,KULFFI-58,41.12 ,34.74 ,37.60 ,60.96 ,29.31 ,69.66 ,46.08 ,41.02 ,25.47 ,48.42 ,18.22 ,49.67 ,49.21 ,39.31 ,65.95 ,51.96 ,43.87 ,50.43 ,36.87 ,68.13 ,59.12 ,57.80 ,52.22 ,64.07 ,56.15 ,55.82 ,46.05 ,35.63 ,36.38 ,37.17 ,47.80 ,45.44 ,44.48 ,8.06 ,38.08 ,43.05 ,51.50 ,41.20 ,47.11 ,44.80 ,41.28 ,35.27 ,40.71 ,57.82 ,23.67 ,39.90 ,46.89 ,69.46 ,40.36 ,40.57 ,46.15 ,33.54 
