ID,NUtrision classfication,KULFFI,HS-01,HS-02,HS-03,HS-04,HS-05,HS-06,HS-07,HS-08,HS-09,HS-10,HS-11,HS-12,HS-13,HS-14,HS-15,HS-16,HS-17,HS-18,HS-19,HS-20,HS-21,HS-22,HS-23,HS-24,HS-25,HS-26,HS-27,HS-28,HS-29,HS-30,HS-31,HS-32,HS-33,HS-34,HS-35,HS-36,HS-37,HS-38,HS-39,HS-40,HS-41,HS-42,HS-43,HS-44,HS-45,HS-46,HS-47,HS-48,HS-49,HS-50,HS-51,HS-52
050,Amino acids,KULFFI-50,288.9793068,225.04,262.82,257.2712472,236.89,208.13,135.84,327.31,175.13,279.98,204.6630107,214.32,285.2235896,242.28,281.75,311.2,247.05,305.57,273.79,131.29,254.1,148.6343349,316.0657373,304.31,272.6069032,264.48,275.56,254.036274,322.91,210.41,284.49,278.4,261.75,152.52,264.91,167.8341017,260.95,306.16,229.2,292.3,226.05,218.49,154.62,149.39,213.3412181,239.29,278.6548145,266.18,236.66,170.8,236.66,211.65
051,Amino acids,KULFFI-51,315.6429545,330.91,344.58,349.4008819,306.34,300.5,360.73,341.38,187.72,313.75,248.9121901,280.98,367.6393785,279.65,305.58,333.52,312.26,368.82,368.21,209.02,278.45,338.8909118,302.1945199,350.03,351.7131109,300.28,288.76,276.3363851,287.64,269.3,307.51,282.76,290.34,151.42,322.96,266.4325283,319.17,315.01,279.86,303.32,268.55,284.77,197.18,270.92,248.0744035,255.37,321.0704069,295.96,329.15,319.35,329.15,274.24
052,Amino acids,KULFFI-52,309.595453,293.08,328.57,309.8308649,274.68,274,312.1,312.7,176.27,290.54,234.1098919,255.67,286.4820245,272.91,291.4,341.88,286.28,327.09,255.22,175.07,260.35,259.1617744,338.0945767,323.62,332.2311688,306.07,267.37,290.6970008,299.65,256.98,324.12,286.48,259.43,150.93,294.2,209.8805533,305.69,326.72,286.88,288.04,259.4,275.37,177.55,239.37,252.4870664,266.51,312.960225,310.81,241.66,292.73,241.66,217.75
053,Amino acids,KULFFI-53,297.5978234,305.93,334.46,353.2455754,307.28,353.05,316.57,286.55,245.74,277.22,231.2009998,291.6,331.0449414,262.58,296.68,358.47,290.64,326.83,393.93,299.87,303.71,333.2379147,342.6854582,350.79,339.2044209,310.65,310.6,267.0509121,285.69,274.5,309.85,310.58,320.82,151.68,307.59,286.3846192,298.65,336.91,291.47,310.78,290.8,289.33,245.38,289.19,240.5070537,284.64,331.0275355,321.21,300.32,327.09,300.32,301.68
054,Amino acids,KULFFI-54,252.1770411,264.76,274.78,277.6569273,239.06,246.93,276.66,261.64,205.08,233.11,186.3434848,235.95,264.9857652,239.1,274.7,294.42,234.06,283.1,242.9,185.01,242.35,230.8980167,283.4168827,296.13,290.7977393,264.62,259.81,233.1876304,223.89,226.49,257.37,258.69,237.08,144.64,242.52,206.6551515,282.66,285.38,253.58,262.74,208.27,202.99,180.19,210.5,178.7939221,221.08,272.2121538,263.06,237.62,249.22,237.62,221.5
055,Amino acids,KULFFI-55,250.3701453,247.44,276.36,271.0196894,231.28,241.99,282.59,269.7,188.14,209.86,193.8790275,226.61,263.9272441,226.87,260.53,279.39,232.15,267.88,230.24,180.87,230.35,219.2821893,275.2607754,297.83,278.1188494,264.34,261.31,227.2209972,220.76,216.94,265.21,256.72,236.35,144.53,243.2,204.0297314,269.81,278.73,232.51,247.99,203.22,217.06,189.96,213.88,167.5677564,187.55,270.7199853,253.76,229.07,239.77,229.07,212.05
056,Amino acids,KULFFI-56,264.6062555,272.59,306.88,285.5615732,260.6,276.22,280.22,257.55,182.04,239.86,237.67978,244.79,290.5679937,229.48,299.66,307.46,264.86,272.15,260.46,234.84,253.67,292.8617945,301.0926278,316.65,298.8963837,276.28,267.54,249.3130338,247.97,249.31,281.2,275.14,267.69,140.18,253.2,231.4525132,282.39,290.3,259.89,272.17,240.63,244.15,220.47,239.27,199.4987771,242.69,291.7903519,276.78,266.22,264.08,266.22,252.84
057,Amino acids,KULFFI-57,242.1529747,270.27,285.79,291.212474,262.65,265.89,307.02,297.36,207.18,257.81,190.9723233,239.55,260.396927,236.13,272.03,292.4,246.84,283.81,234.62,207.88,259.93,218.7632504,294.4934533,306.06,311.3017197,283.1,263.43,263.7770929,255.19,229.99,287.58,239.67,232.67,142.13,259.79,203.7869598,279.6,295.61,268.85,255.31,215.09,213.39,175.81,251.25,203.7549854,254.02,276.1791985,265.86,228.45,246.87,228.45,210.1
058,Amino acids,KULFFI-58,233.0004909,260.89,276.54,273.8374089,227.58,252.65,278.16,284.42,164.2,237.62,182.0574017,241.32,259.3857116,222.57,262.88,294.45,243.52,278.27,235.07,184.49,245.28,229.8919032,281.561168,288.28,288.5940828,271.27,266.04,235.8021867,221.43,229.87,275.34,250.76,241.22,143.36,249.35,198.9982974,266.92,278.15,246.26,251.95,222.93,207.44,181.51,225,194.203657,224.46,268.6141812,255.07,237.51,245.82,237.51,231.35
059,Amino acids,KULFFI-59,260.2856775,264.04,296.57,285.7854298,248.09,241.36,280.67,281.45,189.97,233.6,211.8673853,249.87,268.3382382,227.29,263.74,289.08,234.23,277.63,249.57,184.68,249.16,224.356094,279.7022068,289.06,280.6392105,265.09,269.02,256.6438298,263.47,218.16,278.53,263.31,249.81,146.2,254.19,208.2984359,276.12,289.91,267.73,254.04,207.34,221.34,189.99,217.58,213.8239748,227.36,281.8322625,266.26,234.49,257.28,234.49,222.64
060,Amino acids,KULFFI-60,292.1231902,298.49,320.44,323.6178987,281.32,289.51,301.56,315.17,200.36,257.18,233.4607541,270.43,308.1642285,253.17,295.8,321.41,267.11,310.88,286.46,239.85,280.96,298.9385048,320.6116434,337,315.9848229,298.37,290.72,274.5703739,273.73,251.88,304.18,296.9,291.89,141.14,279.58,254.3064815,294.9,309.5,286.34,295.68,269.95,282.84,253.1,251.48,221.611685,261.37,311.7626497,288.2,289.47,286.39,289.47,271.53
061,Amino acids,KULFFI-61,286.8832664,284.71,315.37,306.6067213,266.62,287.99,311.77,302.12,243.71,262.13,220.1523031,248.85,280.6727468,266.86,313.81,321.99,260.9,311.35,276.59,192.3,275.37,274.9447716,322.9403952,328.57,339.0212116,294.07,292.19,274.5287889,278.77,230.43,294.96,279.96,278.77,101.65,275.83,222.6018233,300.02,325.03,260.7,281.54,250.62,214.93,186.65,233.99,212.6927335,245.83,308.6048965,281.66,255.8,274.11,255.8,243.24
062,Amino acids,KULFFI-62,249.5708937,253.09,269.82,265.9274643,238.57,253.59,262.61,258.7,202.4,216.68,208.1739647,221.19,259.9581544,220.57,263.17,278.45,237.45,280.62,230.5,171.78,245.93,222.4923356,275.9873735,276.96,255.0039273,242.62,254.27,243.9313258,234.75,179.84,246.56,237.15,237.79,98.97,238.37,205.9511152,257.72,287.1,235.4,253.63,200.76,209.59,174.24,182.89,202.714975,215.75,256.1150901,230.01,215.16,237,215.16,184.33
063,Amino acids,KULFFI-63,243.8201806,258.86,273.58,274.887042,238.12,261.41,280.92,284.18,167.48,229.19,196.4256424,214.14,267.8445121,229.86,268.55,285.89,233.77,286.02,236.75,198.21,254.66,233.8602903,284.6246303,283.78,278.0827574,287.36,263.75,256.8135044,238.25,209.68,268.65,240.47,237.03,101.03,249.01,213.9063491,264.32,287.05,255,259.43,215.59,223.87,187.27,230.08,201.7009557,225.89,271.6268425,246.61,234.54,245.29,234.54,224.79
064,Amino acids,KULFFI-64,232.3365089,242.07,279.55,266.6880726,225.21,248.78,283.19,260.4,182.8,224.34,183.7964872,219.18,265.1913866,229.24,263.63,278.79,232.67,278.96,233.88,180.18,244.1,223.9559932,282.0558757,280.51,269.0815507,277.42,261.83,218.1387625,207.11,222.29,265.15,244.05,243.89,96.29,247.95,209.9724999,254.89,279.1,232.76,258.84,213.66,209.73,185.53,195.28,169.2900681,197.94,267.8433229,230.14,228.22,243.31,228.22,219.37
065,Organic acids,KULFFI-65,274.61,278.73,288.39,318.05,274.45,235.61,269.80,277.76,225.06,237.46,214.3847898,238.99,289.7907446,246.55,278.95,302.94,264.45,302.35,252.86,200.93,260.1,241.7226976,301.0681808,298.35,301.0902599,284.76,287.28,262.8681579,262.32,247.78,283.58,261.5,259.76,109.94,263.89,231.7322449,285.7,302.73,254.3,282.27,235.82,235.89,204.77,241.14,226.804785,239.31,293.5534509,239.34,247.32,262.75,247.32,240.21
066,Organic acids,KULFFI-66,271.61,280.54,288.39,309.32,283.00,235.61,272.93,242.91,196.82,234.87,223.5735736,241.89,283.512587,249.41,280.76,305.5,257.19,303.2,259,198.83,266.16,238.3577492,295.225615,303.68,305.7320905,286.05,285.42,264.5062082,256.9,236.11,287.28,269.8,270.03,113.36,277.28,229.3226515,272.02,304.88,252.32,276.68,232.6,235.22,212.46,221.74,225.8146568,237.12,289.9170509,255.58,246.46,259.31,246.46,241.54
067,Organic acids,KULFFI-67,272.56,268.72,288.39,304.37,274.99,235.61,258.75,237.98,192.83,235.69,215.8243846,245.65,287.2690258,236.45,268.93,300.29,253.07,296.17,257.57,206.8,260.39,238.112075,305.4302286,294.89,297.5123863,281.55,268.41,246.8895488,241.11,224.47,296.55,273.43,265.64,113.86,256.14,233.9631654,272.68,304.49,263.16,277.76,237.34,247.55,218.22,225.68,208.7650068,231.39,283.874013,240.52,272.68,270.46,272.68,253.24
068,Organic acids,KULFFI-68,282.01,286.00,288.39,304.91,280.96,235.61,277.97,223.48,181.08,243.86,217.0176503,261.28,309.7515522,254.02,286.22,312.53,253.52,309.63,286.46,260.58,268.71,290.8656989,315.8610509,322.93,313.0382294,313.7,290.53,264.958528,262.65,271.1,286.38,282.19,281.95,153.33,275.5,288.4994578,284.36,313.8,266.67,286.39,272.12,283.66,247.29,267.59,223.014573,240.47,301.0210937,298.75,296.11,285.8,296.11,269.81
069,Organic acids,KULFFI-69,308.2595025,308.48,316.93,310.3150785,269.03,294.76,357.47,308.84,198.11,254.36,213.9549506,249.87,281.1535939,261.03,286.54,307.47,256.08,308.96,263.43,200.86,260.35,254.9666205,313.8035754,315.53,297.7810051,272.57,280.77,267.509325,262.75,253.37,280.19,275.37,258.51,164.66,266.87,239.0098203,278.88,307.89,245.59,283.08,229.2,240.14,204.79,229.06,220.2849399,261.08,300.0053333,295.18,256.54,266.3,256.54,245.01
070,Minerals,KULFFI-70,252.2718809,264.61,276.65,268.8853316,239.88,248.19,303.43,260.91,172.05,220.99,200.0128831,226.5,259.8258918,232.66,268.03,282.35,229.75,281.31,238.62,185.9,237.33,221.6621865,286.8984567,287.23,279.3271253,301.74,270.44,244.8847837,248.86,210.57,259.97,256.12,238.15,143.21,240.61,218.8002415,254.97,287.89,224.76,258.05,201.47,220.63,185.83,222.32,207.0001973,215.45,271.1091032,268.96,231.93,235.54,231.93,229.23
071,Minerals,KULFFI-71,250.1712464,253.23,276.68,269.6500096,227.42,255.62,299.73,258.18,177.13,216.17,189.5557957,222.35,262.8488369,219.25,259.33,274.03,221.38,283.2,230.64,181.1,245.75,232.2678943,279.5531109,285.66,279.6269568,300.38,265.21,249.4433031,244.07,239.06,271.95,250.02,241.05,143.67,239.82,216.8520024,259.48,286.35,218.15,260.26,212.54,221.92,186.26,224.12,208.5361375,220.66,269.8842186,262.84,228.42,236.01,228.42,224.19
072,Minerals,KULFFI-72,256.8098705,251.19,283.46,271.5352534,240.13,256.65,303.73,268.77,212.18,228.03,208.4344111,235.69,279.3367621,236.28,261.81,281.5,231.32,280.92,238.5,183.25,240.62,225.5521542,287.5547505,290.35,286.8831373,289.35,269.9,254.0554168,242.21,248.59,274.52,254.14,244.12,139.42,243.75,211.8203478,254.82,285.18,223.1,257.86,220.14,220.31,190.16,225.24,209.2376651,227.3,267.2523042,258.26,229.6,243.59,229.6,231.96
073,Minerals,KULFFI-73,264.2486575,251.93,283.41,280.2415182,229.33,259.13,301.25,262.95,195.71,232.21,204.903779,230.56,271.3239105,237.68,263.56,294.44,230.16,283.51,243.53,185.08,244.95,223.9000186,278.7382782,285.27,284.0294041,276.7,276.25,247.6495548,243.89,240.97,268.05,251.41,241.93,139.34,246.9,214.8894368,256.7,292.23,237.99,256.3,207.47,220.51,189.32,215.45,207.0304939,229.95,274.465059,262.7,234.02,238.96,234.02,232.83
074,Minerals,KULFFI-74,251.4691034,246.3,284.12,275.9422513,230.9,256.49,293.58,263.77,205.75,232.26,206.8088471,231.68,262.045402,237.81,259.33,284.05,237.19,283.81,238.12,187.61,247.13,221.27107,287.438129,294.41,282.1731754,256.15,266.7,251.1178503,243.72,236.17,278.6,251.03,242.74,133,241.91,212.7192848,259.96,286.21,231.6,256.96,203.72,227.61,184.53,214.42,204.5078934,226.39,275.7689078,262.44,233.73,244.05,233.73,217.56
075,Minerals,KULFFI-75,265.2592347,266.46,275.35,272.6092086,244.24,250.14,281.05,268.5,206.37,239.49,196.1409926,237.21,259.8098273,239.01,264.68,288.9,239.53,297.74,242.27,182.85,249.28,222.191369,286.7113812,303.3,292.4025025,247.65,267.55,253.5175579,244.81,228.15,264.73,255.58,240.06,152.47,252.04,232.8011712,257.03,291.48,239.76,254.53,206.48,199.88,185.51,216.34,207.0516028,219.71,275.4917373,219.48,250.64,248.17,250.64,203.38
076,Minerals,KULFFI-76,250.8438021,236.89,260.18,252.2349403,186.42,229.74,228.99,253.55,160.59,241.44,175.7388852,224.81,230.0757384,214.31,229.03,252.04,212.69,273.74,228.9,183.3,252.85,215.330524,281.8741863,275.95,271.2820937,257.99,268.82,241.1798215,235.36,225.32,256.59,251.71,240.12,151.33,251.75,213.5582318,255.72,289.65,257.1,255.83,203.9,211.33,190.5,200.98,199.9255677,223.01,263.2121601,216.1,223.23,251.11,223.23,198.46
077,Minerals,KULFFI-77,230.7294222,233.56,251.6,247.2830339,209.24,207.67,249.48,246.9,185.58,220.56,186.77773,202.9,243.5051401,220.91,245.39,253.34,198.78,269.1,219.33,176.48,229.38,214.8869508,266.6178565,279.84,269.5124067,280.81,260.87,253.5171013,246.41,220.85,259.65,254.22,237.04,148.97,231.86,213.28598,250.52,263.03,222.66,256.07,210.54,210.15,199.2,212.17,203.8376573,220.86,256.1986312,228.47,229.86,232.21,229.86,203.75
078,Minerals,KULFFI-78,253.5735183,269.21,274.99,272.2475088,244.44,256.76,271.79,263.67,187.56,230.97,205.0651482,224.25,265.1856347,243.84,262.65,293.11,231.02,291.13,240.93,182.76,242.58,209.3877743,276.9541397,274.01,266.2139809,288.96,259.92,243.4725831,246.19,236.86,266.31,256.03,245.19,147.81,247.5,209.4750283,253.77,280.98,231.17,259.37,206.39,218.48,184.21,222.94,207.334727,227.3,267.8074541,208.37,235.86,244.92,235.86,207.2
079,Minerals,KULFFI-79,252.5850393,249.66,275.97,274.3220311,242.95,253.51,265.43,268.76,181.19,234.8,207.3519952,234.08,264.9597907,240.92,261.39,282.21,234.06,287.19,237.42,175.67,246.13,217.1848818,281.480573,293.08,279.163115,282.04,271.72,248.147837,242.97,236.36,279.48,253.29,244.47,147.81,248.32,212.0894676,253.49,282.27,226.61,253.58,206.98,223.14,190.17,218.72,206.8892217,223.91,270.8128687,216.94,232.61,242.42,232.61,212.46
080,Minerals,KULFFI-80,263.5875949,278.89,295.96,283.7606978,251.45,257.17,276.88,276.01,195.92,241.89,212.5746233,249.54,288.3353778,236.31,263.32,294.07,231.88,296.82,274.85,273.24,255.1,282.5140449,287.7168703,294.98,293.7328146,287.03,275.33,238.7440269,236.65,266.08,291.6,266.57,282.98,167.29,258.67,276.5412177,267.79,298.35,257.73,269.41,264.59,268.06,268.21,248.9,203.4509241,236.91,292.5330552,240.03,280.18,278.27,280.18,259.51
081,Minerals,KULFFI-81,261.5777877,252.62,278.92,285.5877803,243.9,261.12,256.29,269.59,196.34,234.72,204.6160975,234.1,259.5032341,239,254.04,277.67,225.86,288.3,237.95,177.98,256.87,219.1647748,286.8956511,286.17,287.0440241,254.8669258,280.19,248.2117766,232.37,238.1,236.22,251.35,249.45,146.01,249.74,215.01,229.49,291.08,247.59,247.2186271,213.46,206.86,174.66,210.19,196.4765082,271.73,266.3301153,257.8,200.67,235.9,200.67,232.49
082,Water-soulble vitamins,KULFFI-82,275.14,272.25,227.89,269.1669412,230.79,238.79,287.05,273.53,228.99,215.78,202.0615657,238.45,256.9014027,221.23,266.37,282.6,220.63,288.45,238.68,179.75,246.82,210.1629559,192.4496333,277.59,286.4466876,294.0319766,259.53,246.2680033,243.35,245.96,222.17,244.2,239.52,152.2,268.12,219.45,218.19,277.31,234.87,246.1546765,198.47,214.89,186.95,207.23,189.9064965,193.56,268.466782,402.74,206.64,240.82,206.64,224.41
083,Water-soulble vitamins,KULFFI-83,286.27,271.23,265.21,269.129916,227.55,237.71,289.67,277.63,229.74,225.57,200.8384222,230.03,260.9587034,215.21,257.34,268.43,224.56,284.75,227.95,174.23,238.72,209.5015837,206.539433,269.64,281.5442384,275.8098854,262.1,237.6629088,246.84,245.75,226.4,247.13,232.66,154.19,251.25,212.14,223.91,281.27,264.48,241.3819693,200.14,198.91,180.26,207.5,194.3571632,167.11,269.7328049,403.4,207.07,243.84,207.07,228.11
084,Water-soulble vitamins,KULFFI-84,272.74,282.24,256.92,269.3127408,231.21,238.07,287.34,268.72,226.29,197.15,196.9471294,224.29,242.6140507,221.25,260.05,258.92,225.81,277.23,220.09,158.19,240.88,165.9003804,205.8386821,262.98,280.4194986,263.4456625,260.57,239.5973088,247.78,216.1,212.72,231.27,229.85,155.25,243.31,190.75,218.05,264.69,229.33,237.1474246,181.09,189.88,166.23,204.12,188.1650179,167.19,259.9378644,404.66,178.66,225.46,178.66,231.86
085,Water-soulble vitamins,KULFFI-85,268.01,266.37,252.92,274.2369219,242.2,241.86,275.66,274.46,225.87,230.28,207.3035517,235.18,275.4365855,227.51,266.33,277.65,232.73,283.41,237.38,196.87,248.57,201.7999102,206.2180896,282.46,295.5504236,278.2538329,263.47,243.5125768,246.84,245.71,223.15,244.85,241.23,156.48,259.17,210.09,234.47,278.13,238.42,245.0655929,200.23,207.09,180.81,203.75,197.7943901,165.16,271.228098,389.51,200.81,225.05,200.81,235.34
086,Water-soulble vitamins,KULFFI-86,268.02,285.51,248.73,273.661641,240.33,238.92,287.09,276.96,223.02,228.93,206.8954645,235.07,264.1263398,205.78,262.11,274.81,229.78,279.05,238.05,189.1,245.92,200.58321,218.3396388,281.7,287.1635044,273.1906948,268.32,242.0202345,244.98,244.1,222.42,249.68,229.63,155.84,254.66,207.01,224.86,280.41,229.59,247.4022639,202.14,198.04,182.1,221.04,193.161198,193.39,240.828808,376.04,203.09,217.17,203.09,236.76
087,Water-soulble vitamins,KULFFI-87,289.53,247.57,261.67,272.2523265,243.35,242.58,281.18,277.55,221.86,228.72,205.9356592,234.74,267.7461943,215.46,264.32,278.76,238.88,280.48,236.52,179.01,246.73,205.990898,216.3209399,275.04,282.5568005,276.8335637,270.59,250.1255557,248.02,237.21,227.51,250,241.15,153.91,253.38,210.18,232.7,269.47,235.24,243.7327554,205.42,178.62,180.15,205.86,196.4670678,186.9,282.0115394,347.3,195.02,226.37,195.02,229.42
088,Water-soulble vitamins,KULFFI-88,274.03,289.6,241.03,275.8559801,247.91,238.12,286.48,276.48,224.67,225.36,199.5040679,224.58,258.9912379,230.49,259.35,281.59,224.51,280.9,240.37,174.98,255.92,224.4344311,221.6505483,274.41,287.8767472,268.4863324,265.08,243.2657297,247.52,254.32,224.34,250.07,243.27,156.14,259.78,209.41,220.76,276.38,241.79,247.9449447,204.4,201.44,173.95,206.68,193.7287698,198.66,271.211621,392.87,218.83,218.74,218.83,230.72
089,Water-soulble vitamins,KULFFI-89,283.28,272.81,224.25,281.138931,250.11,242.95,288.34,277.21,221.62,221.38,224.2939602,244.91,264.3261966,233.7,256.75,285.65,235.3,298.1,238.6,179.68,272.71,229.6182814,224.7560959,271.49,295.0520911,273.762242,258.6,245.990323,243.92,255.22,263.65,264.81,241.56,157.16,273.44,211.83,221.31,285.29,238.29,246.965457,207.37,225.58,171.09,213.39,195.3369387,175.85,277.237024,402.75,205.71,217.68,205.71,232.16
090,Water-soulble vitamins,KULFFI-90,262.97,265.34,251.84,271.0173712,224.22,233.4,288.65,279.7,231.83,207.08,202.6861779,235.94,261.9570791,216.5,259.74,281.55,235.15,277.45,224.93,149.88,244.69,182.4874738,229.2429116,274.72,283.3755004,265.9521498,260.84,245.0103796,257.88,209.47,215.84,260.99,245.71,161.78,242.6,202.41,224.92,281,233.86,244.0732304,180.56,247.61,162.36,154.44,193.4822133,229.01,257.8641758,245.14,190.33,233.27,190.33,227.69
